CELL_LINE_NAME,Compound1_name,Compound2_name,combo_MaxE,HSA_matrix,label
22RV1,AZD5991,Selumetinib,0.498118865,0.07732398,0
22RV1,AZD5991,Venetoclax,0.462010125,0.016079643,0
22RV1,AZD6738,Carboplatin,0.553317869,0.014448764,0
22RV1,AZD6738,Gemcitabine,0.754094405,0.078464843,0
22RV1,AZD6738,Olaparib,0.631186071,0.042571847,0
22RV1,AZD7648,AZD0156,0.467717938,0.0065046015,0
22RV1,AZD7648,AZD1775,0.4595323615,0.028478067,0
22RV1,AZD7648,AZD2811,0.395968453,0.0106951855,0
22RV1,AZD7648,AZD6738,0.517917439,0.032454672500000004,0
22RV1,AZD7648,Etoposide,0.665565545,0.108607143,1
22RV1,AZD7648,Olaparib,0.345998342,-0.045312879,0
22RV1,AZD8186,AZD5363,0.545913584,0.033129294,0
22RV1,AZD8186,Palbociclib,0.562708594,0.040257366,0
22RV1,Capivasertib,AZD1390,0.527096164,-0.049903166,0
22RV1,Capivasertib,AZD2811,0.543999163,-0.00797289,0
22RV1,Capivasertib,AZD5153,0.648776541,0.075681157,0
22RV1,Capivasertib,AZD6738,0.760272684,0.045851749,0
22RV1,Capivasertib,Palbociclib,0.638627669,0.113212209,1
22RV1,Capivasertib,Selumetinib,0.625119414,0.090272393,0
22RV1,Crizotinib,Dasatinib,0.467499702,0.011555434,0
22RV1,Crizotinib,Selumetinib,0.589628213,0.061330552,0
22RV1,Dasatinib,Trametinib,0.36153164,-0.005260492,0
22RV1,Doxorubicin,AZD7648,0.8052706620000001,0.019345020999999997,0
22RV1,Gefitinib,AZD1390,0.148297469,-0.047331916,0
22RV1,Lapatinib,Crizotinib,0.706204304,-0.016728335,0
22RV1,Lapatinib,MK-2206,0.834603446,0.052310542,0
22RV1,Lapatinib,Selumetinib,0.464183058,0.013422343,0
22RV1,Olaparib,AZD4320,0.183274892,-0.054132035,0
22RV1,Olaparib,AZD5153,0.545913584,0.005156977,0
22RV1,Olaparib,AZD5991,0.519069678,0.023589524,0
22RV1,Olaparib,Venetoclax,0.250454931,-0.03128343,0
22RV1,Palbociclib,AZD5991,0.503439037,-0.00550084,0
22RV1,Palbociclib,Selumetinib,0.462914273,0.108630295,0
22RV1,Palbociclib,Venetoclax,0.381794022,-0.026801844,0
22RV1,Prexasertib,AZD0156,0.5321567375,0.029672656999999998,0
22RV1,Prexasertib,AZD1775,0.61908275,0.1138411675,1
22RV1,Prexasertib,AZD6738,0.655266512,0.0791914045,0
22RV1,Prexasertib,AZD7648,0.5746435489999999,0.0212625995,0
22RV1,Prexasertib,Olaparib,0.515881759,-0.026641633,0
22RV1,Prexasertib,SN-38,0.7236896975,0.02337827025,0
22RV1,SG3199,Olaparib,0.094967659,-0.028122252,0
22RV1,SN-38,AZD0156,0.682966392,0.0766824055,0
22RV1,SN-38,Olaparib,0.697420706,0.0764132945,0
22RV1,SRA737,5-Fluorouracil,0.616057721,0.062103197,0
22RV1,SRA737,AZD1775,0.516040171,0.081284537,0
22RV1,SRA737,Gemcitabine,0.733961475,0.010351127,0
22RV1,SRA737,SN-38,0.684567152,-0.01892094,0
22RV1,Savolitinib,AZD5991,0.340250989,0.017858576,0
22RV1,Savolitinib,Venetoclax,0.214509833,-0.05715075,0
22RV1,Selumetinib,AZD1390,0.307179437,-0.014231453,0
22RV1,Selumetinib,AZD1775,0.406463352,0.100532086,0
22RV1,Selumetinib,AZD2811,0.383295951,-0.00924516,0
22RV1,Selumetinib,AZD6738,0.525590198,0.046118003,0
22RV1,Taselisib,SCH772984,0.701875889,0.133939656,1
22RV1,Trametinib,Taselisib,0.704018747,0.1472880795,1
22RV1,Venetoclax,AZD0156,0.423534,0.0094038075,0
22RV1,Venetoclax,AZD1775,0.5129716335,0.0415180995,0
22RV1,Venetoclax,AZD2811,0.23200621,0.0222598395,0
22RV1,Venetoclax,AZD6738,0.5988416489999999,-7.72949999999998e-05,0
22RV1,Venetoclax,AZD7648,0.4556567005,0.0056771370000000005,0
22RV1,Venetoclax,AZD8186,0.32208923899999997,0.0061091259999999994,0
22RV1,Venetoclax,Alisertib,0.32898062549999996,0.030207119,0
22RV1,Venetoclax,Capivasertib,0.4838432615,-0.008913396500000002,0
22RV1,Venetoclax,Lapatinib,0.266082666,-0.038283668,0
22RV1,Venetoclax,Selumetinib,0.3682792675,0.0192915065,0
2313287,AZD0156,AZD1775,0.644749031,0.020332701,0
2313287,AZD0156,AZD2811,0.1176545,-0.021615426,0
2313287,AZD0156,AZD6738,0.873289254,0.057774989,0
2313287,AZD0156,Olaparib,0.644235461,0.228394923,1
2313287,AZD1775,AZD6738,0.917581887,0.106191046,1
2313287,AZD1775,Capivasertib,0.829005408,0.067669564,0
2313287,AZD1775,Olaparib,0.605117496,-0.013471133,0
2313287,AZD2811,AZD1775,0.656413978,0.024705093,0
2313287,AZD2811,AZD6738,0.811206357,-0.005765351,0
2313287,AZD2811,Olaparib,0.245944511,0.016771351,0
2313287,AZD4320,AZD0156,0.148277396,-0.021137704,0
2313287,AZD4320,AZD1775,0.845675365,0.088591484,0
2313287,AZD4320,AZD2811,0.25758452,-0.02598155,0
2313287,AZD4320,AZD6738,0.840446922,0.104602684,1
2313287,AZD4320,AZD7648,0.200343969,-0.024287822,0
2313287,AZD4320,AZD8186,0.740285656,-0.018514504,0
2313287,AZD4320,Capivasertib,0.221148812,-0.040885493,0
2313287,AZD4320,Selumetinib,0.615355335,0.062779833,0
2313287,AZD5153,AZD1775,0.636191972,0.061964155,0
2313287,AZD5153,AZD2811,0.173482358,-0.010130678,0
2313287,AZD5153,AZD4320,0.348981385,-0.03803722,0
2313287,AZD5153,AZD5991,0.870246336,0.093855218,0
2313287,AZD5153,AZD6738,0.593666994,0.054701528,0
2313287,AZD5153,Selumetinib,0.2000883,-0.017033133,0
2313287,AZD5153,Venetoclax,0.141532964,-0.052833796,0
2313287,AZD5991,AZD0156,0.934123182,-0.053556531,0
2313287,AZD5991,AZD1775,0.960156468,0.066654964,0
2313287,AZD5991,AZD2811,0.92372076,0.004484351,0
2313287,AZD5991,AZD6738,0.978564942,0.033185111,0
2313287,AZD5991,AZD7648,0.887285052,-0.056510646,0
2313287,AZD5991,AZD8186,0.866480208,-0.045426956,0
2313287,AZD5991,Capivasertib,0.934123182,-0.039142021,0
2313287,AZD5991,Selumetinib,0.902915916,0.042003547,0
2313287,AZD5991,Venetoclax,0.902915916,0.013441227,0
2313287,AZD6738,Olaparib,0.76835354,0.062092412,0
2313287,AZD7648,AZD0156,0.066906561,-0.009136655,0
2313287,AZD7648,AZD1775,0.658865498,-0.035947407,0
2313287,AZD7648,AZD2811,0.0,-0.013413076,0
2313287,AZD7648,AZD6738,0.840450872,0.000755952,0
2313287,AZD7648,Olaparib,0.238940662,0.007146383,0
2313287,Capivasertib,AZD1390,0.165044594,-0.039367396,0
2313287,Capivasertib,AZD2811,0.224051646,0.019835714,0
2313287,Capivasertib,AZD5153,0.658604059,0.075019303,0
2313287,Capivasertib,AZD6738,0.615710255,0.036004222,0
2313287,Capivasertib,Palbociclib,0.427909503,-0.003431685,0
2313287,Capivasertib,Selumetinib,0.3961883,0.081585581,0
2313287,Dasatinib,Trametinib,0.315285195,-0.023249878,0
2313287,Doxorubicin,AZD7648,0.820274719,0.05525557,0
2313287,Gefitinib,AZD1390,0.126727147,-0.01484102,0
2313287,Lapatinib,Crizotinib,0.594263353,0.033441917,0
2313287,Palbociclib,AZD4320,0.578150104,-0.077560593,0
2313287,Palbociclib,AZD5991,0.304561744,-0.183204428,0
2313287,Palbociclib,Selumetinib,0.127484443,-0.055424529,0
2313287,Palbociclib,Venetoclax,0.170378247,-0.030339705,0
2313287,Prexasertib,AZD0156,0.925636466,0.002094877,0
2313287,Prexasertib,AZD1775,0.939102875,0.088278477,0
2313287,Prexasertib,AZD6738,0.907712535,0.013454563,0
2313287,Prexasertib,AZD7648,0.939102875,-0.03286841,0
2313287,Prexasertib,Olaparib,0.869612451,-0.041391253,0
2313287,Prexasertib,SN-38,0.8980478894999999,0.006688422500000003,0
2313287,SG3199,Olaparib,0.30012881,0.025898467,0
2313287,SN-38,AZD0156,0.844955315,0.035253359,0
2313287,SN-38,Olaparib,0.813564976,0.029244485,0
2313287,Savolitinib,AZD4320,0.338350141,-0.041474809,0
2313287,Savolitinib,AZD5991,0.17877015,0.011950154,0
2313287,Savolitinib,Venetoclax,0.146876416,-0.043133317,0
2313287,Selumetinib,AZD1390,0.093664532,-0.033243992,0
2313287,Selumetinib,AZD1775,0.274507012,-0.059200158,0
2313287,Selumetinib,AZD2811,0.104295777,-0.017305431,0
2313287,Selumetinib,AZD6738,0.428799211,-0.047716928,0
2313287,Trametinib,Taselisib,0.636167975,0.074495515,0
2313287,Venetoclax,AZD0156,0.157204848,0.003195978,0
2313287,Venetoclax,AZD1775,0.360264292,-0.017421039,0
2313287,Venetoclax,AZD2811,0.151974447,-0.008120002,0
2313287,Venetoclax,AZD6738,0.433163014,-0.023055228,0
2313287,Venetoclax,AZD7648,0.151974447,0.004086519,0
2313287,Venetoclax,AZD8186,0.068669405,-0.030472181,0
2313287,Venetoclax,Alisertib,0.0,-0.025691425,0
2313287,Venetoclax,Capivasertib,0.032220045,-0.035949447,0
2313287,Venetoclax,Selumetinib,0.084306127,-0.044013392,0
42MGBA,AZD0156,AZD1775,0.290144914,0.038584103,0
42MGBA,AZD0156,AZD2811,0.443606987,0.094650289,0
42MGBA,AZD0156,AZD6738,0.700708038,0.039337985,0
42MGBA,AZD0156,Olaparib,0.401800789,0.079084024,0
42MGBA,AZD1775,AZD6738,0.762943506,0.058084197,0
42MGBA,AZD1775,Capivasertib,0.732789237,0.039852718,0
42MGBA,AZD1775,Olaparib,0.277689141,0.021126999,0
42MGBA,AZD2811,AZD1775,0.522377819,0.097345092,0
42MGBA,AZD2811,AZD6738,0.568034522,0.058586808,0
42MGBA,AZD2811,Olaparib,0.464352143,0.025639189,0
42MGBA,AZD4320,AZD0156,0.274135034,-0.011986919,0
42MGBA,AZD4320,AZD1775,0.292876757,-0.01378881,0
42MGBA,AZD4320,AZD2811,0.831406406,0.16221414,1
42MGBA,AZD4320,AZD6738,0.674854041,0.029428279,0
42MGBA,AZD4320,AZD7648,0.31168401,-0.014474513,0
42MGBA,AZD4320,AZD8186,0.757422703,0.085684188,0
42MGBA,AZD4320,Capivasertib,0.59346516,-0.034328478,0
42MGBA,AZD4320,Selumetinib,0.693662185,0.045088839,0
42MGBA,AZD5153,AZD1775,0.687519596,0.017594445,0
42MGBA,AZD5153,AZD2811,0.783196959,0.048762373,0
42MGBA,AZD5153,AZD4320,0.867641265,0.150151657,1
42MGBA,AZD5153,AZD5991,0.882644858,0.086773419,0
42MGBA,AZD5153,AZD6738,0.7926233,0.076167773,0
42MGBA,AZD5153,Selumetinib,0.70503688,0.037988326,0
42MGBA,AZD5153,Venetoclax,0.559871227,-0.013413941,0
42MGBA,AZD5991,AZD0156,0.986386039,0.053169412,0
42MGBA,AZD5991,AZD1775,0.986386039,0.045171137,0
42MGBA,AZD5991,AZD2811,1.0,0.081164582,0
42MGBA,AZD5991,AZD6738,1.0,0.08992805,0
42MGBA,AZD5991,AZD7648,0.987958771,0.009294079,0
42MGBA,AZD5991,AZD8186,0.96292612,0.043322538,0
42MGBA,AZD5991,Capivasertib,1.0,0.01534697,0
42MGBA,AZD5991,Selumetinib,0.987958771,0.006400097,0
42MGBA,AZD5991,Venetoclax,0.96292612,-0.011767527,0
42MGBA,AZD6738,Olaparib,0.576323904,0.033015597,0
42MGBA,AZD7648,AZD0156,0.398234665,-0.019998596,0
42MGBA,AZD7648,AZD1775,0.439069858,-0.032293346,0
42MGBA,AZD7648,AZD2811,0.471703841,0.050775889,0
42MGBA,AZD7648,AZD6738,0.692111369,-0.026580963,0
42MGBA,AZD7648,Olaparib,0.464352143,0.045177294,0
42MGBA,Capivasertib,AZD1390,0.68605573,-0.007795486,0
42MGBA,Capivasertib,AZD2811,0.782442475,0.053246864,0
42MGBA,Capivasertib,AZD5153,0.812652068,0.143955738,1
42MGBA,Capivasertib,AZD6738,0.774949233,0.043489208,0
42MGBA,Capivasertib,Palbociclib,0.63928213,0.00828465,0
42MGBA,Capivasertib,Selumetinib,0.737246399,0.132683303,1
42MGBA,Dasatinib,Trametinib,0.970877772,-0.000171727,0
42MGBA,Doxorubicin,AZD7648,0.924777998,0.056198239,0
42MGBA,Gefitinib,AZD1390,0.319735186,-0.055425918,0
42MGBA,Lapatinib,Crizotinib,0.767377116,0.000644632,0
42MGBA,Palbociclib,AZD4320,0.511187143,-0.014383677,0
42MGBA,Palbociclib,AZD5991,0.390585398,-0.002510272,0
42MGBA,Palbociclib,Selumetinib,0.232280819,-0.049806395,0
42MGBA,Palbociclib,Venetoclax,0.269983653,0.008421949,0
42MGBA,Prexasertib,AZD0156,0.936994385,0.041717805,0
42MGBA,Prexasertib,AZD1775,0.94109499,0.109539421,1
42MGBA,Prexasertib,AZD6738,0.904360402,-0.061007143,0
42MGBA,Prexasertib,AZD7648,0.908418292,-0.030410154,0
42MGBA,Prexasertib,Olaparib,0.908418292,-0.022225728,0
42MGBA,Prexasertib,SN-38,1.0,0.071930921,0
42MGBA,SG3199,Olaparib,0.247195708,0.015767272,0
42MGBA,SN-38,AZD0156,1.0,0.081472093,0
42MGBA,SN-38,Olaparib,1.0,0.095504956,0
42MGBA,Savolitinib,AZD4320,0.222172555,-0.032294912,0
42MGBA,Savolitinib,AZD5991,0.192086816,-0.035800969,0
42MGBA,Savolitinib,Venetoclax,0.165535955,-0.021107898,0
42MGBA,Selumetinib,AZD1390,0.184624296,-0.013636555,0
42MGBA,Selumetinib,AZD1775,0.282186927,-0.016864276,0
42MGBA,Selumetinib,AZD2811,0.447305003,-0.018162609,0
42MGBA,Selumetinib,AZD6738,0.529864041,0.026297851,0
42MGBA,Trametinib,Taselisib,0.970736688,0.080434612,0
42MGBA,Venetoclax,AZD0156,0.366680888,0.021686936,0
42MGBA,Venetoclax,AZD1775,0.286896784,-0.054223131,0
42MGBA,Venetoclax,AZD2811,0.534093977,0.021636492,0
42MGBA,Venetoclax,AZD6738,0.677638599,0.011753109,0
42MGBA,Venetoclax,AZD7648,0.430441407,0.012932578,0
42MGBA,Venetoclax,AZD8186,0.390632811,-0.046937476,0
42MGBA,Venetoclax,Alisertib,0.589926158,0.06201988,0
42MGBA,Venetoclax,Capivasertib,0.518153847,-0.001112461,0
42MGBA,Venetoclax,Selumetinib,0.215124473,-0.018308976,0
5637,AZD0156,AZD1775,0.744646564,-0.075061445,0
5637,AZD0156,AZD2811,0.609222867,0.012461428,0
5637,AZD0156,AZD6738,0.711705147,-0.007275355,0
5637,AZD0156,Olaparib,0.438784811,0.156441854,0
5637,AZD1775,AZD6738,0.89837956,0.056362345,0
5637,AZD1775,Capivasertib,0.956753131,0.051763242,0
5637,AZD1775,Olaparib,0.836154755,-0.019610498,0
5637,AZD2811,AZD1775,0.892902091,0.029613678,0
5637,AZD2811,AZD6738,0.827019258,-0.02977144,0
5637,AZD2811,Olaparib,0.622035546,-0.011779087,0
5637,AZD4320,AZD0156,0.221989161,-0.018574819,0
5637,AZD4320,AZD1775,0.979444387,0.063480934,0
5637,AZD4320,AZD2811,0.898396063,0.015864407,0
5637,AZD4320,AZD6738,0.90959834,0.001220186,0
5637,AZD4320,AZD7648,0.171681288,-0.024917788,0
5637,AZD4320,AZD8186,0.672503315,0.025882549,0
5637,AZD4320,Capivasertib,0.328220669,-0.033315681,0
5637,AZD4320,Selumetinib,0.782244719,0.0071445,0
5637,AZD5153,AZD1775,0.943676682,0.062047908,0
5637,AZD5153,AZD2811,0.680307401,-0.022183815,0
5637,AZD5153,AZD4320,0.956644084,0.153481856,1
5637,AZD5153,AZD5991,0.637158034,-0.037096897,0
5637,AZD5153,AZD6738,0.823174731,0.066637505,0
5637,AZD5153,Selumetinib,0.809845869,0.069755553,0
5637,AZD5153,Venetoclax,0.477392418,-0.00944435,0
5637,AZD5991,AZD0156,0.216402647,0.016417067,0
5637,AZD5991,AZD1775,0.95429045,0.020604765,0
5637,AZD5991,AZD2811,0.90959834,0.052312504,0
5637,AZD5991,AZD6738,0.78660729,0.057876176,0
5637,AZD5991,AZD7648,0.233162188,-0.008824484,0
5637,AZD5991,AZD8186,0.249950978,-0.018695974,0
5637,AZD5991,Capivasertib,0.17445992,0.006468418,0
5637,AZD5991,Selumetinib,0.370134147,0.034433624,0
5637,AZD5991,Venetoclax,0.216870627,-0.030107757,0
5637,AZD6738,Olaparib,0.726356417,0.020214129,0
5637,AZD7648,AZD0156,0.152910492,0.006208418,0
5637,AZD7648,AZD1775,0.791966711,0.026002463,0
5637,AZD7648,AZD2811,0.648546286,0.027415078,0
5637,AZD7648,AZD6738,0.632329935,-0.019277914,0
5637,AZD7648,Olaparib,0.250429552,-0.013334188,0
5637,Capivasertib,AZD1390,0.336248847,-0.026940795,0
5637,Capivasertib,AZD2811,0.572402782,-0.043632967,0
5637,Capivasertib,AZD5153,0.627205321,0.037034926,0
5637,Capivasertib,AZD6738,0.563975017,-0.031798562,0
5637,Capivasertib,Palbociclib,0.386859565,-0.023456027,0
5637,Capivasertib,Selumetinib,0.395287331,0.012114914,0
5637,Dasatinib,Trametinib,0.972920209,0.145582585,1
5637,Doxorubicin,AZD7648,0.545836445,0.10097885,1
5637,Gefitinib,AZD1390,0.494652165,-0.027788266,0
5637,Lapatinib,Crizotinib,1.0,0.035247706,0
5637,Palbociclib,AZD4320,0.618777555,-0.008728276,0
5637,Palbociclib,AZD5991,0.197124528,-0.0198829,0
5637,Palbociclib,Selumetinib,0.344676613,-0.002664634,0
5637,Palbociclib,Venetoclax,0.230835591,-0.002896691,0
5637,Prexasertib,AZD0156,0.848573089,-0.009415706,0
5637,Prexasertib,AZD1775,0.924243108,0.07841847,0
5637,Prexasertib,AZD6738,0.844971551,0.012427241,0
5637,Prexasertib,AZD7648,0.844971551,-0.031926335,0
5637,Prexasertib,Olaparib,0.852174627,-0.05645691,0
5637,Prexasertib,SN-38,1.0,0.171697984,1
5637,SG3199,Olaparib,0.187172247,-0.021334511,0
5637,SN-38,AZD0156,0.801715377,0.05922881,0
5637,Savolitinib,AZD4320,0.179458461,-0.040776634,0
5637,Savolitinib,AZD5991,0.054257521,-0.033651266,0
5637,Savolitinib,Venetoclax,0.080147142,-0.039003687,0
5637,Selumetinib,AZD1390,0.235620412,-0.006424683,0
5637,Selumetinib,AZD1775,0.850148734,0.010624765,0
5637,Selumetinib,AZD2811,0.809665139,0.084049944,0
5637,Selumetinib,AZD6738,0.632820506,0.060864614,0
5637,Trametinib,Taselisib,0.988543858,0.347997009,1
5637,Venetoclax,AZD0156,0.150163632,-0.014812186,0
5637,Venetoclax,AZD1775,0.861254855,-0.024323988,0
5637,Venetoclax,AZD2811,0.606676847,-0.003755798,0
5637,Venetoclax,AZD6738,0.690096851,-0.019158167,0
5637,Venetoclax,AZD7648,0.251131236,-0.03268165,0
5637,Venetoclax,AZD8186,0.141343896,-0.016248571,0
5637,Venetoclax,Alisertib,0.777880787,-0.012438244,0
5637,Venetoclax,Capivasertib,0.167711232,-0.035711116,0
5637,Venetoclax,Selumetinib,0.264268968,-0.00583641,0
639V,AZD0156,AZD1775,0.203976995,-0.018003772,0
639V,AZD0156,AZD2811,0.179243119,0.008948167,0
639V,AZD0156,AZD6738,0.349676777,0.014762223,0
639V,AZD0156,Olaparib,0.44280541,0.087656775,0
639V,AZD1775,AZD6738,0.45686649,0.056461737,0
639V,AZD1775,Capivasertib,0.642200504,-0.00865371,0
639V,AZD1775,Olaparib,0.333168353,0.020537477,0
639V,AZD2811,AZD1775,0.264459948,0.054337857,0
639V,AZD2811,AZD6738,0.338661574,-0.012335942,0
639V,AZD2811,Olaparib,0.236965082,0.047383744,0
639V,AZD4320,AZD0156,0.189974232,-0.011573345,0
639V,AZD4320,AZD1775,0.376570871,-0.02975557,0
639V,AZD4320,AZD2811,0.302731981,0.05807743,0
639V,AZD4320,AZD6738,0.665416702,0.016375284,0
639V,AZD4320,AZD7648,0.207736483,-0.014967321,0
639V,AZD4320,AZD8186,1.0,0.1156075,1
639V,AZD4320,Capivasertib,0.15440323,-0.04070321,0
639V,AZD4320,Selumetinib,0.978261411,0.232217276,1
639V,AZD5153,AZD1775,0.713969228,0.022067102,0
639V,AZD5153,AZD2811,0.68081654,0.003353223,0
639V,AZD5153,AZD4320,0.605545655,0.08316721,0
639V,AZD5153,AZD5991,0.652589958,-0.031720364,0
639V,AZD5153,AZD6738,0.812639112,0.17329136,1
639V,AZD5153,Selumetinib,0.676136741,0.056060563,0
639V,AZD5153,Venetoclax,0.581998873,-0.062225128,0
639V,AZD5991,AZD0156,0.238843673,0.003762121,0
639V,AZD5991,AZD1775,0.447666376,0.107244325,0
639V,AZD5991,AZD2811,0.367689745,0.076454881,0
639V,AZD5991,AZD6738,0.452130188,0.054436137,0
639V,AZD5991,AZD7648,0.298082177,0.005415374,0
639V,AZD5991,AZD8186,0.421022998,0.067909361,0
639V,AZD5991,Capivasertib,0.176629294,0.006108142,0
639V,AZD5991,Selumetinib,0.2832958,0.037241396,0
639V,AZD5991,Venetoclax,0.194391545,0.011165685,0
639V,AZD6738,Olaparib,0.786661081,0.073911616,0
639V,AZD7648,AZD0156,0.23921687,0.023040265,0
639V,AZD7648,AZD1775,0.425355713,0.06327439,0
639V,AZD7648,AZD2811,0.277841139,0.033572951,0
639V,AZD7648,AZD6738,0.404261202,0.042262403,0
639V,AZD7648,Olaparib,0.18200411,-0.013797218,0
639V,Capivasertib,AZD1390,0.25242083,-0.009601322,0
639V,Capivasertib,AZD2811,0.386701352,0.048713889,0
639V,Capivasertib,AZD5153,0.621670308,0.067042785,0
639V,Capivasertib,AZD6738,0.495820742,0.061153568,0
639V,Capivasertib,Palbociclib,0.298571526,-0.008053931,0
639V,Capivasertib,Selumetinib,0.365711787,0.041531681,0
639V,Dasatinib,Trametinib,0.466444133,0.017539984,0
639V,Doxorubicin,AZD7648,0.98017074,0.128287222,1
639V,Gefitinib,AZD1390,0.158304575,-0.051861248,0
639V,Lapatinib,Crizotinib,0.852467699,-0.008709023,0
639V,Palbociclib,AZD4320,0.197883091,-0.08035535,0
639V,Palbociclib,AZD5991,0.269194918,-0.015470796,0
639V,Palbociclib,Selumetinib,0.259051425,-0.05239996,0
639V,Palbociclib,Venetoclax,0.147516917,-0.044483332,0
639V,Prexasertib,AZD0156,0.446413473,0.063729156,0
639V,Prexasertib,AZD1775,0.804615902,0.198184598,1
639V,Prexasertib,AZD6738,0.397241949,0.095173372,0
639V,Prexasertib,AZD7648,0.362108931,0.008757187,0
639V,Prexasertib,Olaparib,0.867825934,0.11020768,1
639V,Prexasertib,SN-38,1.0,-0.003840177,0
639V,SG3199,Olaparib,0.20055585,-0.023873114,0
639V,SN-38,AZD0156,1.0,0.073921878,0
639V,SN-38,Olaparib,1.0,0.096438318,0
639V,Savolitinib,AZD4320,0.172442497,-0.055794201,0
639V,Savolitinib,AZD5991,0.21007794,-0.060540655,0
639V,Savolitinib,Venetoclax,0.120669133,-0.076333869,0
639V,Selumetinib,AZD1390,0.238353783,-0.044211996,0
639V,Selumetinib,AZD1775,0.454905362,0.031790783,0
639V,Selumetinib,AZD2811,0.341900511,0.005591627,0
639V,Selumetinib,AZD6738,0.464314223,0.087708356,0
639V,Trametinib,Taselisib,0.717915171,0.11144085,1
639V,Venetoclax,AZD0156,0.201465768,0.031140688,0
639V,Venetoclax,AZD1775,0.42768874,-0.018125704,0
639V,Venetoclax,AZD2811,0.248407593,-0.005839263,0
639V,Venetoclax,AZD6738,0.478918306,-0.005443254,0
639V,Venetoclax,AZD7648,0.244164517,-0.032626089,0
639V,Venetoclax,AZD8186,0.320986533,0.047896536,0
639V,Venetoclax,Alisertib,0.752038439,0.035393079,0
639V,Venetoclax,Capivasertib,0.282575525,-0.083504961,0
639V,Venetoclax,Selumetinib,0.269756967,0.045012814,0
647V,AZD0156,AZD1775,0.4460299,0.006707902,0
647V,AZD0156,AZD2811,0.167206205,0.039506586,0
647V,AZD0156,AZD6738,0.490646358,0.011399514,0
647V,AZD0156,Olaparib,0.256658416,0.072485977,0
647V,AZD1775,AZD6738,0.769392256,0.088479918,0
647V,AZD1775,Capivasertib,0.948433423,0.082878033,0
647V,AZD1775,Olaparib,0.65417521,0.022159547,0
647V,AZD2811,AZD1775,0.490646358,0.055945269,0
647V,AZD2811,AZD6738,0.524098978,0.024754439,0
647V,AZD2811,Olaparib,0.275032556,0.04894865,0
647V,AZD4320,AZD0156,0.172445208,0.025211742,0
647V,AZD4320,AZD1775,0.949206276,0.055994314,0
647V,AZD4320,AZD2811,0.708286536,0.119997916,1
647V,AZD4320,AZD6738,0.816177335,-0.001861942,0
647V,AZD4320,AZD7648,0.219221721,-0.038850659,0
647V,AZD4320,AZD8186,0.988616514,0.06272578,0
647V,AZD4320,Capivasertib,0.147269434,0.009542327,0
647V,AZD4320,Selumetinib,0.970708327,0.07453389,0
647V,AZD5153,AZD1775,0.637295903,0.042266859,0
647V,AZD5153,AZD2811,0.545325612,0.052430382,0
647V,AZD5153,AZD4320,0.513128791,0.080675605,0
